addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
woehelper,Woehelper,automation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/WoEHelper/woehelper.lua,high
xichecklist,XIchecklist,travel_navigation,1,4,0,4.83,HiPotionQ8/XIchecklist,https://github.com/HiPotionQ8/XIchecklist/blob/HEAD/README.md,medium
xipivot,XIpivot,general_qol,1,61,84,4.83,HealsCodes/XIPivot,https://github.com/HealsCodes/XIPivot/blob/HEAD/README.md,medium
xitools,XItools,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/xitools/crafty.lua,high
xivcrossbar,XIvcrossbar,ui_gear,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/xivcrossbar/database.lua,high
xivhotbar,XIvhotbar,ui_gear,1,18,1946,3.43,Akirane/XIVHotbar,https://github.com/Akirane/XIVHotbar/blob/HEAD/README.md,medium
xivhotbar2,XIvhotbar2,ui_gear,1,13,1141,3.78,Technyze/XIVHotbar2,https://github.com/Technyze/XIVHotbar2/blob/HEAD/README.md,medium
xivparty,XIvparty,ui_gear,1,47,58,4.83,Tylas11/XivParty,https://github.com/Tylas11/XivParty/blob/HEAD/README.md,medium
yush,Yush,general_qol,1,17,3528,3.43,mverteuil/windower4-addons,heuristic,low
zenimonsnap,Zenimonsnap,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/ZenimonSnap/zenimonsnap.lua,high
znmtracker,Znmtracker,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/ZNMTracker/readme.md,high
zonelines,Zonelines,travel_navigation,1,2,37,4.83,SQLCommit/ZoneLines,https://github.com/SQLCommit/ZoneLines/blob/HEAD/README.md,medium
zonename,Zonename,travel_navigation,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/zonename/regionZones.lua,high
zonetimer,Zonetimer,travel_navigation,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/zonetimer/readme.md,medium
