addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
clock,Clock,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/Clock/Clock.lua,high
closetcleaner2,Closetcleaner2,general_qol,1,0,1,4.2,Gol-exe/closetCleaner2,https://github.com/Gol-exe/closetCleaner2/blob/HEAD/README.md,medium
collector,Collector,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
colure,Colure,general_qol,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/colure/utils.lua,high
consolebg,Consolebg,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
crb_addon,Crb Addon,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/crb_addon/crb_addon.lua,high
crbaddon,crb_addon,general_qol,1,69,1490,4.0,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/crb_addon/crb_addon.lua,high
crystaltrader,Crystaltrader,economy_inventory,1,14,1177,3.78,ValokAsura/WindowerAddons,https://github.com/ValokAsura/WindowerAddons/blob/HEAD/CrystalTrader/CrystalTrader.lua,high
cureplease_addon,Cureplease Addon,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/CurePlease_addon/CurePlease_addon.lua,high
curepleaseaddon,CurePlease_addon,general_qol,1,69,1490,4.0,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/CurePlease_addon/CurePlease_addon.lua,high
currencies,Currencies,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
data,data,general_qol,5,28,26,4.0,Akirane/XIVHotbar; SQLCommit/LootScope; Technyze/XIVHotbar2; ZeromusXYZ/PacketViewerLogViewer; lorand-ffxi/HealBot,https://github.com/Akirane/XIVHotbar/blob/HEAD/data/Akirane/General.lua,high
debuff-tracker,Debuff Tracker,automation,1,99,1263,3.78,ProjectTako/ffxi-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/debuff-tracker/debuff_tracker.lua,high
debuffed,Debuffed,combat_automation,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
debufftracker,debuff-tracker,general_qol,1,99,1263,4.0,ProjectTako/ffxi-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/debuff-tracker/debuff_tracker.lua,high
digger,Digger,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,heuristic,low
digskill,Digskill,general_qol,1,1,1,4.2,Phayde/Windower-addons,https://github.com/Phayde/Windower-addons/blob/HEAD/README.md,medium
distance,Distance,general_qol,2,18,3350,2.31,Lygre/addons; mverteuil/windower4-addons,https://github.com/Lygre/addons/blob/HEAD/distance/readme.md,medium
distanceplus,Distanceplus,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/DistancePlus/DistancePlus.lua,high
dostuff,Dostuff,general_qol,2,69,1490,2.31,Icydeath/ffxi-addons; Lygre/addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/dostuff/dostuff.lua,high
dpsmeter,Dpsmeter,general_qol,1,0,14,4.2,cybersoulwing/dpsmeter,heuristic,low
dramagen,Dramagen,general_qol,1,35,51,4.83,lili-ffxi/FFXI-Addons,https://github.com/lili-ffxi/FFXI-Addons/blob/HEAD/README.md,medium
dressup,Dressup,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/DressUp/DressUp.lua,high
drop,Drop,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
dupefind,Dupefind,general_qol,2,69,51,3.71,Icydeath/ffxi-addons; lili-ffxi/FFXI-Addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
dxui,Dxui,ui_gear,1,29,46,4.83,mousseng/xitools,https://github.com/mousseng/xitools/blob/HEAD/addons/dxui/dxui.lua,high
dynamishelper,Dynamishelper,automation,2,69,1490,2.31,Icydeath/ffxi-addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/dynamishelper/dynamishelper.lua,high
emotes,Emotes,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/emotes/emotes.lua,high
enemybar,Enemybar,ui_gear,1,17,3528,3.43,mverteuil/windower4-addons,https://github.com/mverteuil/windower4-addons/blob/HEAD/enemybar/enemybar.lua,high
enemybar2,Enemybar2,ui_gear,1,19,1911,3.43,AkadenTK/enemybar2,https://github.com/AkadenTK/enemybar2,medium
enternity,Enternity,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/enternity/README.md,medium
